"sku","fisier","sursa","model_deye","verificare"
"SUN-8K-SG05LP1-EU-AM2","SUN-8K-SG05LP1-EU-AM2.png","https://www.deyeinverter.com/deyeinverter/2025/12/05/SUN-3.6-10K-SG05LP1-EU3.png","SUN-3.6/5/6/7/7.6/8/10K-SG05LP1-EU-AM2-P","model: SUN-8K-SG05LP1-EU-AM2-P"
"SUN-12K-SG02LP1-AM3","SUN-12K-SG02LP1-AM3.png","https://www.deyeinverter.com/deyeinverter/2025/07/21/101.png","SUN-7.6/8/10/12K-SG02LP1-EU-AM2/AM3-P","model: SUN-12K-SG02LP1-EU-AM3-P"
"SUN-10K-SG02LP1-AM3","SUN-10K-SG02LP1-AM3.png","https://www.deyeinverter.com/deyeinverter/2025/07/21/101.png","SUN-7.6/8/10/12K-SG02LP1-EU-AM2/AM3-P","model: SUN-10K-SG02LP1-EU-AM3-P"
"SUN-10K-SG01HP3-EU-AM2","SUN-10K-SG01HP3-EU-AM2.png","https://www.deyeinverter.com/deyeinverter/2025/12/05/5-25KW-SG01HP3.bip.712.png","SUN-5/6/8/10/12/15/20/25K-SG01HP3-EU-AM2","model: SUN-10K-SG01HP3-EU-AM2"
